village_id,village_name,district,state,ndbi_mean_2020,ndbi_mean_2025,ndbi_median_2020,ndbi_median_2025,builtup_frac_2020,builtup_frac_2025,builtup_growth_abs,builtup_growth_pct
,,,,-0.021444139125923186,-0.0027385719233460224,0.005866312980323893,0.0292924266389282,0.13400119177870295,0.19994829018223828,0.06594709840353537,1.2490976871963224
,,,,-0.026965932457553687,-0.0491029404780838,-0.011711701270258841,-0.033193426272313864,0.1317084286001615,0.042563874516417625,-0.08914455408374387,0.07811437621092972
,,,,-0.015639145385184967,-0.049782956109152635,-0.0039215525172987395,-0.044928448096968776,0.13734467714691528,0.058728537298399885,-0.07861613984851538,0.14357404826372616
,,,,-0.006963495993376244,-0.025201882786641875,0.011732565391543149,-0.005854153118380345,0.14370824212663147,0.09571738501809005,-0.04799085710854142,0.38938637242172996
,,,,-0.005592271417993002,-0.037243904273444185,0.003899333190874994,-0.029282298513518774,0.12265131471086314,0.05224251479940417,-0.07040879991145897,0.153857419701157
,,,,-0.004569655538673687,-0.07882304773181795,0.0038900646742486963,-0.06445559267026223,0.15828493680789024,0.03624357447403874,-0.1220413623338515,0.03410378703330765
,,,,-0.028168970920586178,-0.07188857978873932,-0.027350012557422764,-0.07422799810817055,0.0881736473807134,0.043203216651719716,-0.04497043072899371,0.13049301435331442
,,,,-0.028483049196538726,-0.078349906695007,-0.011707072084303823,-0.0742174070295083,0.1052661283126816,0.03615674132891905,-0.06910938698376257,0.04159380112961684
,,,,-0.09730706203408133,-0.09444543751275003,-0.08983686704853412,-0.09766093115467364,0.031091263165498803,0.044597623539291156,0.013506360373792362,0.26640100272988054
,,,,-0.08723758363790236,-0.12439889856642496,-0.09766672324006093,-0.14455422074073107,0.051643383279282716,0.03806285181408434,-0.013580531465198366,0.12250503825313443
,,,,-0.08216964507419684,-0.12807580332777607,-0.08986475278337301,-0.15237445479909797,0.0570712218537884,0.027434490908447764,-0.029636730945340643,0.062137303452142266
,,,,-0.047587672405941965,-0.038701405074051065,-0.027304476220761136,-0.019510860020465214,0.07297807820738106,0.091852049427819,0.018873971220437925,0.5937166974356685
,,,,-0.04965551318970772,-0.050527027753556476,-0.019510821657355817,-0.01951328726357661,0.08333957677052031,0.07602161909968715,-0.007317957670833168,0.3804644112466174
